,Food and Serving,Calories,CaloriesÊfrom Fat,Total Fat,Total Fat.1,Sodium,Sodium.1,Potassium,Potassium.1,Total Carbo-hydrate,Total Carbo-hydrate.1,Dietary Fiber,Dietary Fiber.1,Sugars,Protein,Vitamin A,Vitamin C,Calcium,ÊÊIronÊÊ,Saturated Fat,Saturated Fat.1,Chole-sterol,Chole-sterol.1,Food Type
0,,,,(g),(%DV),(g),(%DV),(g),(%DV),(g),(%DV),(g),(%DV),(g),(g),(%DV),(%DV),(%DV),(%DV),(%DV),(mg)Ê,(%DV),(mg)Ê,
1,Asparagus,20,0,0,0,0,0,230,7,4,1,2,8,2,2,10,15,2,2,,,,,"Vegetables, Serving Size (gram weight/Êounce weight)"
2,Bell Pepper,25,0,0,0,40,2,220,6,6,2,2,8,4,1,4,190,2,4,,,,,"Vegetables, Serving Size (gram weight/Êounce weight)"
3,Broccoli,45,0,0.5,1,80,3,460,13,8,3,3,12,2,4,6,220,6,6,,,,,"Vegetables, Serving Size (gram weight/Êounce weight)"
4,Carrot,30,0,0,0,60,3,250,7,7,2,2,8,5,1,110,10,2,2,,,,,"Vegetables, Serving Size (gram weight/Êounce weight)"
5,Cauliflower,25,0,0,0,30,1,270,8,5,2,2,8,2,2,0,100,2,2,,,,,"Vegetables, Serving Size (gram weight/Êounce weight)"
6,Celery,15,0,0,0,115,5,260,7,4,1,2,8,2,0,10,15,4,2,,,,,"Vegetables, Serving Size (gram weight/Êounce weight)"
7,Cucumber,10,0,0,0,0,0,140,4,2,1,1,4,1,1,4,10,2,2,,,,,"Vegetables, Serving Size (gram weight/Êounce weight)"
8,Green (Snap) Beans,20,0,0,0,0,0,200,6,5,2,3,12,2,1,4,10,4,2,,,,,"Vegetables, Serving Size (gram weight/Êounce weight)"
9,Green Cabbage,25,0,0,0,20,1,190,5,5,2,2,8,3,1,0,70,4,2,,,,,"Vegetables, Serving Size (gram weight/Êounce weight)"
10,Green Onion,10,0,0,0,10,0,70,2,2,1,1,4,1,0,2,8,2,2,,,,,"Vegetables, Serving Size (gram weight/Êounce weight)"
11,Iceberg Lettuce,10,0,0,0,10,0,125,4,2,1,1,4,2,1,6,6,2,2,,,,,"Vegetables, Serving Size (gram weight/Êounce weight)"
12,Leaf Lettuce,15,0,0,0,35,1,170,5,2,1,1,4,1,1,130,6,2,4,,,,,"Vegetables, Serving Size (gram weight/Êounce weight)"
13,Mushrooms,20,0,0,0,15,0,300,9,3,1,1,4,0,3,0,2,0,2,,,,,"Vegetables, Serving Size (gram weight/Êounce weight)"
14,Onion,45,0,0,0,5,0,190,5,11,4,3,12,9,1,0,20,4,4,,,,,"Vegetables, Serving Size (gram weight/Êounce weight)"
15,Potato,110,0,0,0,0,0,620,18,26,9,2,8,1,3,0,45,2,6,,,,,"Vegetables, Serving Size (gram weight/Êounce weight)"
16,Radishes,10,0,0,0,55,2,190,5,3,1,1,4,2,0,0,30,2,2,,,,,"Vegetables, Serving Size (gram weight/Êounce weight)"
17,SummerÊSquash,20,0,0,0,0,0,260,7,4,1,2,8,2,1,6,30,2,2,,,,,"Vegetables, Serving Size (gram weight/Êounce weight)"
